cluster_id,anchor_index,n_samples,class_0,class_1,mi_mean_all,mi_mean_top30,mi_mean_rest,mi_delta_top30_rest,mi_ratio_top30_all,acc_top30,f1_top30,top30_features
10,13677,500,500,0,0.0,0.0,0.0,0.0,0.0,,,[]
11,37311,500,498,2,0.0017605840044843642,0.01836878231842404,0.001246928386527467,0.017121853931896573,10.43334613493995,1.0,1.0,"['suspicious_getPackageInfo', 'suspicious_Cipher', 'n_services', 'intent_android.intent.action.MAIN', 'perm_android.permission.WRITE_EXTERNAL_STORAGE', 'n_urls', 'suspicious_Base64', 'suspicious_getExternalStorageDirectory', 'suspicious_getSystemService', 'suspicious_getDeviceId', 'perm_android.permission.ACCESS_WIFI_STATE', 'suspicious_Ljava/lang/System;->load', 'perm_android.permission.ACCESS_NETWORK_STATE', 'intent_com.ss.android.socialbase.downloader.remote', 'suspicious_Ldalvik/system/DexClassLoader;', 'intent_com.excelliance.dualaid.action.phone_res_download', 'perm_com.nd.android.launcher.permission.WRITE_SETTINGS', 'intent_com.huawei.intent.action.PUSH', 'intent_com.qihoo.appstore.battery.START', 'intent_co.ronash.pushe.CHECK_TASKS', 'perm_cn.nubia.launcher.permission.READ_SETTINGS', 'perm_com.google.android.googleapps.permission.GOOGLE_AUTH.ig', 'intent_com.sogou.androidtool.intent.action.COMMAND', 'perm_android.permission.KILL_BACKGROUND_PROCESSES', 'intent_com.qihoo.appstore.ACTION_LOCK_SCREEN_AD_ADD_LISTENER', 'intent_com.baidu.android.pushservice.action.notification.CLICK', 'intent_com.sogou.androidtool.browser.highspeed', 'intent_com.excelliance.kxqp.action.swpsrv', 'perm_com.google.android.googleapps.permission.GOOGLE_AUTH.adwords', 'intent_com.qihoo.appstore.ACTION_STAT']"
12,32435,500,494,6,0.002956385968906832,0.04244623144127927,0.001735050541926241,0.04071118089935303,14.357472903639303,0.9866666666666667,0.0,"['perm_android.permission.ACCESS_NETWORK_STATE', 'intent_android.intent.action.MAIN', 'suspicious_Base64', 'suspicious_Cipher', 'suspicious_getDeviceId', 'suspicious_getSystemService', 'suspicious_getExternalStorageDirectory', 'suspicious_getPackageInfo', 'perm_android.permission.WRITE_EXTERNAL_STORAGE', 'suspicious_Ljava/lang/System;->loadLibrary', 'suspicious_Ldalvik/system/DexClassLoader;', 'perm_android.permission.VIBRATE', 'perm_android.permission.READ_PHONE_STATE', 'perm_android.permission.GET_TASKS', 'intent_android.net.conn.CONNECTIVITY_CHANGE', 'suspicious_Ljava/lang/Runtime;->exec', 'perm_android.permission.ACCESS_WIFI_STATE', 'suspicious_Ljava/lang/System;->load', 'intent_android.intent.action.CREATE_SHORTCUT', 'perm_android.permission.SYSTEM_ALERT_WINDOW', 'perm_com.google.android.c2dm.permission.RECEIVE', 'intent_android.intent.action.PACKAGE_ADDED', 'intent_com.qihoo360.daemon.pcdaemon.NotifyServiceStart2', 'intent_com.yuetu.shentu.Intent.WECHAT_PAY', 'intent_com.google.android.c2dm.intent.RECEIVE', 'perm_com.sec.android.provider.badge.permission.READ', 'intent_com.meizu.cloud.pushservice.action.PUSH_SERVICE_START', 'intent_com.android.vending.INSTALL_REFERRER', 'intent_com.google.firebase.INSTANCE_ID_EVENT', 'intent_android.net.wifi.RSSI_CHANGED']"
13,61647,500,496,4,0.0013865133753805652,0.017586496745498562,0.000885482961871761,0.016701013783626803,12.683971938367694,0.9933333333333333,0.0,"['suspicious_Base64', 'suspicious_Cipher', 'suspicious_getSystemService', 'suspicious_getExternalStorageDirectory', 'perm_android.permission.ACCESS_NETWORK_STATE', 'suspicious_getPackageInfo', 'intent_android.intent.action.MAIN', 'perm_android.permission.CAMERA', 'intent_com.baidu.android.pushservice.action.BIND_SYNC', 'perm_xmpp.permission.RECEIVE_NOTIFICATION', 'suspicious_getDeviceId', 'suspicious_Ldalvik/system/DexClassLoader;', 'intent_android.intent.action.DELETE', 'perm_com.bbk.launcher2.permission.WRITE_SETTINGS', 'perm_android.permission.PERSISTENT_ACTIVITY', 'intent_com.qihoo360.mobilesafe.clean.DOWNLOADDLG', 'intent_com.mobiletool.appstore.action.download', 'perm_com.google.android.googleapps.permission.GOOGLE_AUTH.OTHER_SERVICES', 'perm_com.huawei.launcher2.permission.READ_SETTINGS', 'intent_com.qihoo.appstore.battery.ACCESSIBILITY_ALERT', 'intent_com.secneo.proxy.action.CUSTOM', 'perm_com.huawei.launcher.permission.WRITE_SETTINGS', 'perm_cn.swiftpass.wxpay.permission.MMOAUTH_CALLBACK', 'perm_com.android.mylauncher.permission.READ_SETTINGS', 'intent_com.qihoo.appstore.launcher.shortcut.HOME_GAME', 'intent_com.baoruan.launcher3.ACTION_THEME', 'intent_com.google.Ps.Download', 'intent_com.qihoo360.daemon.pcdaemon.ACTION_START_RECEIVER', 'intent_com.baidu.autoupdatesdk.ACTION_NEW_UPDATE', 'perm_telecom.mdesk.permission.WRITE_SETTINGS']"
14,27772,500,494,6,0.0021953810108793857,0.02429728720334575,0.001511816901834034,0.022785470301511717,11.067458032541325,0.9866666666666667,0.5,"['suspicious_getSystemService', 'suspicious_getExternalStorageDirectory', 'suspicious_getPackageInfo', 'n_activities', 'suspicious_getDeviceId', 'intent_android.intent.action.MAIN', 'suspicious_getSubscriberId', 'suspicious_Cipher', 'n_used_permissions', 'perm_android.permission.BROADCAST_SMS', 'intent_android.intent.action.CONFIGURATION_CHANGED', 'perm_android.permission.RECEIVE_BOOT_COMPLETED', 'suspicious_Ljava/lang/Runtime;->exec', 'intent_com.android.utils.hades.ACTION_INIT_COMMON_RES', 'perm_org.adw.launcher_donut.permission.WRITE_SETTINGS', 'intent_com.qihoo.appstore.ACTION_WX_CLEAR', 'intent_com.qihoo.appstore.ACTION_LAUNCH_SERVICE_ACTIVITY', 'intent_com.android.utils.hades.ACTION_START_SYS_WRAPPER', 'intent_com.qihoo360.daemon.pcdaemon.ACTION_START_UI2', 'intent_android.intent.action.DOWNLOAD_NOTIFICATION_CLICKED', 'intent_com.qihoo360.daemon.pcdaemon.NotifyServiceStop2', 'perm_com.qiku.android.launcher3.permission.WRITE_UNREAD', 'perm_com.android.launcher.permission.INSTALL_SHORTCUT', 'perm_android.permission.WRITE_APN_SETTINGS', 'perm_android.permission.SUBSCRIBED_FEEDS_WRITE', 'perm_android.hardware.camera.autofocus', 'perm_yulong.permission.ACCESS_YLPARAMS', 'perm_android.permission.DEVICE_POWER', 'perm_com.yulong.android.launcherL.permission.READ_SETTINGS', 'intent_show_taskmanager']"
15,52238,500,495,5,0.0018850874455927902,0.026045566287272674,0.0011378561412109384,0.024907710146061735,13.816635588001757,1.0,1.0,"['perm_android.permission.WRITE_EXTERNAL_STORAGE', 'intent_android.intent.action.MAIN', 'perm_android.permission.ACCESS_WIFI_STATE', 'perm_android.permission.ACCESS_NETWORK_STATE', 'n_used_permissions', 'suspicious_Cipher', 'suspicious_Base64', 'suspicious_getExternalStorageDirectory', 'suspicious_getSystemService', 'perm_android.permission.READ_PHONE_STATE', 'perm_android.permission.GET_TASKS', 'suspicious_Ldalvik/system/PathClassLoader;', 'intent_com.kingroot.common.ACTION_NOTIFY_OUT_SELF_APP_BY_MAIN', 'intent_com.excelliance.kxqp.action.gp', 'intent_com.qihoo.appstore.ACTION_LOCK_SCREEN_AD_ADD_LISTENER', 'intent_com.baidu.action.Techain.VIEW', 'intent_com.tencent.smtt.tbs.video.PLAY', 'intent_com.dzbook.service.PerpareDataService', 'intent_com.qihoo.express.push.MSG_ARRIVED', 'perm_com.huawei.authentication.HW_ACCESS_AUTH_SERVICE', 'perm_android.permission.READ_EXTERNAL_STORAGE', 'intent_com.example.servicejar.action.START_ASSIST', 'intent_safiap.framework.sdk.ISAFFramework', 'perm_android.permission.DIAGNOSTIC', 'intent_com.aspire.purchaseservice.BIND', 'perm_com.yulong2.android.launcher.permission.READ_SETTINGS', 'perm_com.android.launcher.permission.WRITE_SETTINGS', 'perm_com.sec.android.permission.VOIP_INTERFACE', 'perm_android.permission.RECORD_VIDEO', 'perm_telecom.mdesk.permission.WRITE_SETTINGS']"
16,62411,500,362,138,0.012246370338844497,0.08399950253472806,0.010027201301858408,0.07397230123286964,6.859134601563405,0.9066666666666666,0.8333333333333334,"['n_permissions', 'n_api_calls', 'perm_android.permission.SYSTEM_ALERT_WINDOW', 'n_activities', 'perm_android.permission.DISABLE_KEYGUARD', 'n_urls', 'perm_android.permission.READ_PHONE_STATE', 'n_receivers', 'intent_com.google.firebase.INSTANCE_ID_EVENT', 'intent_android.intent.action.ERROR_NOTIFY', 'intent_android.intent.action.MEDIA_MOUNTED', 'suspicious_getCellLocation', 'perm_com.android.launcher.permission.INSTALL_SHORTCUT', 'perm_android.permission.READ_SYNC_SETTINGS', 'perm_android.permission.CHANGE_NETWORK_STATE', 'perm_com.google.android.finsky.permission.BIND_GET_INSTALL_REFERRER_SERVICE', 'perm_android.permission.CHANGE_CONFIGURATION', 'n_services', 'perm_android.permission.WRITE_SETTINGS', 'intent_com.telecom.sdk_auth_ui.SMS_SEND_ACTIOIN', 'intent_cn.jpush.android.intent.PushService', 'intent_com.igexin.sdk.action.refreshls', 'intent_oh.rt.hj.j.g', 'perm_com.yulong.android.launcher.permission.WRITE_SETTINGS', 'perm_com.google.android.googleapps.permission.GOOGLE_AUTH.finance', 'intent_com.igexin.sdk.action.pushmanager', 'perm_android.permission.CHANGE_WIFI_STATE', 'intent_com.sogou.pushservice.action.METHOD', 'perm_android.webkit.permission.PLUGIN', 'perm_android.permission.MOUNT_UNMOUNT_FILESYSTEMS']"
17,15091,500,498,2,0.0018694011703428966,0.020555185174826872,0.0012914903248433924,0.01926369484998348,10.995598751581245,1.0,1.0,"['n_activities', 'suspicious_getCellLocation', 'intent_android.intent.action.MAIN', 'n_permissions', 'suspicious_getPackageInfo', 'suspicious_Ljava/lang/Runtime;->exec', 'suspicious_getSystemService', 'suspicious_Ldalvik/system/PathClassLoader;', 'suspicious_Ldalvik/system/DexClassLoader;', 'suspicious_getSubscriberId', 'suspicious_Base64', 'n_used_permissions', 'suspicious_Cipher', 'n_urls', 'n_api_calls', 'suspicious_getDeviceId', 'suspicious_getExternalStorageDirectory', 'perm_com.motorola.mmsp.motoswitch.permission.READ_SETTINGS', 'perm_android.permission.ACCESS_NETWORK_STATE', 'intent_android.intent.action.defaultSmsSet', 'intent_cn.ngds.android.intent.alarm', 'perm_android.permission.CHANGE_WIFI_MULTICAST_STATE', 'intent_com.gtp.nextlauncher.theme', 'perm_android.permission.WRITE_APN_STORAGE', 'perm_org.adw.launcher.permission.READ_SETTINGS', 'intent_android.appwidget.action.APPWIDGET_UPDATE', 'perm_com.huawei.launcher3.permission.READ_SETTINGS', 'perm_android.permission.BIND_JOB_SERVICE', 'intent_com.qihoo360.daemon.pcdaemon.ACTION_START_UI2', 'intent_com.meizu.c2dm.intent.REGISTRATION']"
18,66534,500,399,101,0.008347340283500319,0.06210485246400368,0.006684736814000215,0.05542011565000346,7.440076761547935,0.9533333333333334,0.8771929824561403,"['suspicious_getSubscriberId', 'perm_android.permission.READ_PHONE_STATE', 'perm_android.permission.BLUETOOTH', 'perm_android.permission.ACCESS_COARSE_LOCATION', 'perm_android.permission.PACKAGE_USAGE_STATS', 'n_urls', 'suspicious_Base64', 'n_activities', 'suspicious_Ljava/lang/System;->load', 'intent_android.net.conn.CONNECTIVITY_CHANGE', 'perm_com.huaqin.launcherEx.permission.WRITE_SETTINGS', 'intent_android.intent.action.PACKAGE_ADDED', 'perm_android.permission.MODIFY_AUDIO_SETTINGS', 'intent_com.qihoo.appstore.launcher.shortcut.HAOWU', 'suspicious_getPackageInfo', 'intent_com.baidu.autoupdatesdk.ACTION_NEW_UPDATE', 'intent_com.baoruan.launcher3.ACTION_THEME', 'n_providers', 'n_used_permissions', 'intent_android.intent.action.SEND', 'intent_pre_add_game_uninstalled', 'intent_com.meizu.flyme.push.intent.UNREGISTER.FEEDBACK', 'intent_com.kingroot.kinguser.service.IKingrootAppList', 'intent_com.android.vending.INSTALL_REFERRER', 'intent_com.qihoo.commonreceiver.CLEARED', 'intent_android.intent.action.CONFIGURATION_CHANGED', 'perm_android.permission.GET_TASKS', 'perm_android.permission.WRITE_CONTACTS', 'suspicious_getDeviceId', 'perm_com.aspire.mm.permission.READ_SETTINGS']"
19,72528,500,495,5,0.0024156694615205137,0.03476431623273606,0.0014151958500396205,0.03334912038269644,14.391172627919918,1.0,1.0,"['suspicious_getExternalStorageDirectory', 'suspicious_getPackageInfo', 'suspicious_Ljava/lang/System;->loadLibrary', 'intent_android.intent.action.MAIN', 'suspicious_getSystemService', 'perm_android.permission.READ_PHONE_STATE', 'perm_android.permission.GET_TASKS', 'suspicious_Ljava/lang/System;->load', 'perm_android.permission.VIBRATE', 'perm_android.permission.ACCESS_NETWORK_STATE', 'suspicious_getDeviceId', 'perm_android.permission.WRITE_EXTERNAL_STORAGE', 'suspicious_getSubscriberId', 'perm_android.permission.ACCESS_WIFI_STATE', 'perm_android.permission.SYSTEM_ALERT_WINDOW', 'intent_android.net.conn.CONNECTIVITY_CHANGE', 'intent_com.google.android.c2dm.intent.RECEIVE', 'suspicious_Ljava/lang/Runtime;->exec', 'perm_com.samsung.svoice.sync.WRITE_DATABASE', 'intent_com.android.vending.INSTALL_REFERRER', 'perm_mobi.SyndicateApps.ICS.launcher.permission.READ_SETTINGS', 'suspicious_Ldalvik/system/PathClassLoader;', 'perm_com.google.android.c2dm.permission.RECEIVE', 'n_permissions', 'perm_com.tencent.mtt.extension.Player', 'perm_com.facebook.permission.prod.SYSTEM_COMMUNICATION', 'suspicious_getCellLocation', 'perm_com.android.launcher.permission.INSTALL_SHORTCUT', 'n_providers', 'perm_com.oppo.launcher.permission.WRITE_SETTINGS']"
