perm_android_permission_GET_TASKS,perm_android_permission_CHANGE_WIFI_STATE,n_permissions,perm_android_permission_MOUNT_UNMOUNT_FILESYSTEMS,n_api_calls,intent_android_net_conn_CONNECTIVITY_CHANGE,perm_android_permission_WRITE_SETTINGS,perm_android_permission_SYSTEM_ALERT_WINDOW,suspicious_getWifiState,intent_android_intent_action_USER_PRESENT,perm_android_permission_CHANGE_NETWORK_STATE,perm_android_permission_READ_LOGS,perm_android_permission_READ_PHONE_STATE,perm_com_google_android_c2dm_permission_RECEIVE,suspicious_getSubscriberId,intent_com_google_android_c2dm_intent_RECEIVE,suspicious_getCellLocation,intent_com_android_vending_INSTALL_REFERRER,intent_com_google_firebase_INSTANCE_ID_EVENT,perm_android_permission_RESTART_PACKAGES,intent_android_intent_action_PACKAGE_REMOVED,suspicious_Ldalvik_system_PathClassLoader_,intent_com_google_firebase_MESSAGING_EVENT,n_providers,suspicious_sendTextMessage,n_services,perm_com_android_launcher_permission_INSTALL_SHORTCUT,perm_android_permission_RECEIVE_SMS,suspicious_setWifiEnabled,perm_android_permission_ACCESS_WIFI_STATE,label
1,1,125,1,69,1,1,1,1,1,1,1,1,0,1,0,1,0,0,1,1,1,0,17,1,57,1,1,1,1,0
1,1,15,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0
0,0,30,0,24,0,1,0,0,0,0,0,1,1,0,1,0,1,1,1,1,1,1,6,0,12,0,0,0,0,0
0,0,4,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0,0,6,0,19,0,0,1,0,0,0,0,0,1,0,1,0,1,1,0,0,1,0,1,0,2,0,0,0,0,0
1,0,16,0,25,0,0,1,0,0,0,0,1,1,0,1,0,1,1,0,0,1,1,2,0,8,0,0,0,1,0
0,1,15,0,27,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0,0,38,0,33,0,1,0,0,0,1,0,1,1,0,1,0,1,0,0,0,1,0,2,0,15,0,0,1,1,0
0,0,7,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,0,0,0,0
0,0,6,0,24,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,1,1,1,0,6,0,0,0,0,0
0,1,21,0,42,0,0,1,0,0,1,0,1,1,0,1,0,1,1,0,0,1,1,2,0,8,0,0,0,1,0
0,0,5,0,7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,0,8,0,17,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,1,1,1,0,5,0,0,0,0,0
0,0,4,0,21,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,15,0,31,1,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,1,1,9,0,19,0,0,0,1,0
0,0,6,0,39,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,4,0,0,0,0,0
0,0,2,0,12,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0
0,0,3,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0,0,2,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,17,0,61,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,2,0,0,0,1,0
0,0,2,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
0,0,3,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
0,0,3,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0,0,7,0,17,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
1,1,24,1,5,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,1,1,0,9,0,19,0,0,0,1,0
0,0,4,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0
0,0,9,0,12,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0
0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0,0,6,0,8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,0,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,10,0,31,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,1,1,1,0,7,0,0,0,1,1
0,0,7,0,14,1,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,1,0,1,0,7,0,0,0,0,0
0,0,3,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,23,0,18,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,7,0,0,0,0,0
0,0,6,0,40,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,9,0,0,0,0,0
0,0,5,0,28,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
0,0,11,0,18,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,6,0,21,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0,0,11,0,12,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,2,0,10,0,0,0,0,0
0,0,13,0,30,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,0,6,0,32,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1,0,15,0,21,1,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0
0,1,21,0,31,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,12,1,0,0,1,0
0,0,2,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
0,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,7,0,27,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,1,1,4,0,6,0,0,0,0,0
0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,4,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0
0,0,11,1,15,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
0,0,5,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
0,0,8,0,27,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,1,3,0,5,0,0,0,0,0
0,0,5,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
0,0,6,0,6,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,1,0,1,0,4,0,0,0,0,0
0,0,2,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0,0,5,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
0,0,1,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1,0,12,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,1,0
0,0,2,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0,0,11,0,27,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,1,1,3,0,13,0,0,0,1,0
0,1,24,0,44,1,0,0,0,0,0,1,0,1,0,1,0,1,1,0,0,1,1,6,0,19,0,0,0,1,0
0,0,4,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0
0,0,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,1,1
0,0,5,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
0,0,10,0,3,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,0,4,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0,0,3,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0,0,10,0,19,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,3,0,0,0,0,0
0,0,4,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,8,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
0,0,9,0,23,0,0,1,0,0,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,5,0,0,0,0,0
0,0,2,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,11,0,20,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,1,0,1,0,6,0,0,0,1,0
0,0,3,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,11,1,31,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,0,8,0,47,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,4,0,0,0,1,0
0,0,33,0,45,0,0,1,0,0,0,0,0,1,0,1,0,1,1,0,0,1,1,4,0,24,1,0,1,0,0
0,0,5,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,8,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1
0,0,8,0,18,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,1,1,0,6,0,0,0,0,0
0,0,5,0,22,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1,1,16,0,33,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,42,1,0,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,12,1,1,0,1,0
0,0,6,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,3,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
0,0,2,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0,0,9,0,17,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,18,0,0,0,1,1
0,0,5,0,17,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,1,1,1,0,6,0,0,0,0,0
0,0,4,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,32,1,64,1,1,1,1,0,1,1,1,0,1,0,1,0,0,0,1,0,0,0,0,12,1,0,1,1,1
0,0,2,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,4,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
