intent_android_intent_action_PACKAGE_ADDED,perm_android_permission_GET_ACCOUNTS,n_receivers,perm_android_permission_ACCESS_WIFI_STATE,intent_com_android_vending_INSTALL_REFERRER,perm_android_permission_ACCESS_FINE_LOCATION,n_api_calls,intent_com_google_android_gms_measurement_UPLOAD,n_services,n_permissions,n_urls,suspicious_Ldalvik_system_PathClassLoader_,intent_com_google_android_gms_appinvite_ACTION_PREVIEW,n_providers,intent_com_google_firebase_INSTANCE_ID_EVENT,suspicious_getSimCountryIso,perm_android_permission_ACCESS_COARSE_LOCATION,intent_com_google_firebase_MESSAGING_EVENT,perm_android_permission_RECEIVE_BOOT_COMPLETED,intent_android_intent_action_BOOT_COMPLETED,intent_android_intent_action_VIEW,perm_com_android_vending_BILLING,perm_com_google_android_finsky_permission_BIND_GET_INSTALL_REFERRER_SERVICE,perm_android_permission_READ_EXTERNAL_STORAGE,intent_com_google_android_c2dm_intent_REGISTRATION,perm_android_permission_WRITE_CONTACTS,n_activities,perm_com_google_android_googleapps_permission_GOOGLE_AUTH_notebook,perm_com_qiku_launcher_permission_READ_SETTINGS,intent_com_qihoo_appstore_plugin_huajiao_IPluginHelperService,label
0,0,3,0,1,0,8,0,4,5,41,1,0,4,1,0,0,0,0,0,1,0,1,0,0,0,8,0,0,0,0
0,0,4,1,1,0,10,0,5,7,46,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0
0,0,3,0,0,0,12,1,7,7,42,0,1,1,1,0,0,1,0,0,1,0,0,1,1,0,11,0,0,0,0
0,0,7,1,1,0,8,0,6,9,38,1,0,2,1,0,0,0,0,0,0,1,0,0,1,0,8,0,0,0,1
0,0,3,1,1,0,7,0,2,6,39,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0
0,0,7,1,1,0,8,0,6,9,38,1,0,2,1,0,0,0,0,0,0,1,0,0,1,0,8,0,0,0,0
0,0,3,0,1,0,10,0,5,5,44,1,0,2,1,0,0,0,1,0,0,0,0,0,0,0,15,0,0,0,0
0,0,3,0,1,0,10,0,4,9,40,1,0,3,1,0,0,0,0,0,0,1,1,0,0,0,8,0,0,0,0
0,0,4,0,1,0,8,0,7,9,39,1,1,2,1,0,0,0,1,1,1,1,1,0,0,0,9,0,0,0,0
0,0,8,0,1,0,8,0,9,7,40,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,14,0,0,0,0
0,0,3,0,1,1,8,0,7,8,38,1,0,2,1,0,1,1,0,0,0,1,1,0,0,0,8,0,0,0,0
0,0,0,1,0,1,8,0,0,10,42,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,10,0,0,0,0
0,1,7,0,1,0,7,0,8,8,37,1,1,1,1,0,0,1,0,0,1,1,0,0,1,0,12,0,0,0,0
0,0,3,0,1,0,10,0,5,5,45,1,0,2,1,0,0,0,1,0,0,0,0,0,0,0,15,0,0,0,0
0,0,1,0,1,0,4,0,2,3,43,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0
0,0,5,0,1,0,8,0,9,7,47,1,0,3,1,1,0,1,0,0,0,0,1,0,0,0,11,0,0,0,0
0,0,2,0,0,0,6,0,2,3,40,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0
0,0,4,1,1,0,8,0,4,10,43,1,0,3,1,0,0,0,0,0,1,0,1,1,0,0,6,0,0,0,0
1,0,1,1,0,0,8,0,0,4,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0
1,0,1,1,0,0,8,0,0,7,45,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,8,0,0,0,0
0,0,5,1,1,0,6,0,8,9,39,1,1,2,1,0,0,1,0,0,1,0,1,1,0,0,7,0,0,0,0
0,0,4,0,1,0,9,0,4,6,38,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,15,0,0,0,0
1,0,1,1,0,0,8,0,0,7,45,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,8,0,0,0,0
0,0,3,0,0,0,11,0,2,7,44,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,16,0,0,0,1
0,0,2,0,0,0,10,1,5,6,42,0,0,2,0,0,0,0,0,0,1,0,0,1,0,0,8,0,0,0,0
0,0,3,0,0,0,11,0,2,7,42,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,16,0,0,0,0
0,0,1,1,0,0,6,0,1,7,38,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,14,0,0,0,0
0,0,5,1,1,0,12,0,3,6,43,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,17,0,0,0,0
0,0,3,0,1,0,9,0,3,6,38,1,0,4,0,0,0,0,0,0,0,0,1,1,0,0,12,0,0,0,0
0,0,2,0,1,0,11,0,5,6,42,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,13,0,0,0,0
0,0,4,0,0,0,7,1,4,10,36,0,0,1,1,0,0,0,0,0,1,1,0,0,1,0,14,0,0,0,0
0,0,5,0,1,0,12,0,5,11,46,1,0,2,1,0,0,0,0,0,0,1,0,1,0,0,11,0,0,0,0
0,0,1,1,0,0,10,0,4,6,39,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,13,0,0,0,1
1,0,1,1,0,0,8,0,0,6,45,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,8,0,0,0,1
1,0,1,1,0,0,8,0,0,6,45,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,8,0,0,0,1
0,0,5,0,1,0,7,0,2,6,49,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,8,0,0,0,0
0,0,2,0,0,0,10,0,1,6,44,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,16,0,0,0,0
0,0,3,0,0,0,11,0,5,8,45,0,0,2,1,0,0,1,0,0,1,0,0,1,0,0,17,0,0,0,0
0,0,2,0,0,0,10,0,1,6,44,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,16,0,0,0,0
0,0,3,0,0,0,11,0,5,8,45,0,0,2,1,0,0,1,0,0,1,0,0,1,0,0,17,0,0,0,0
0,0,2,0,0,0,10,0,1,6,44,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,16,0,0,0,0
0,0,3,0,0,0,11,0,5,8,45,0,0,2,1,0,0,1,0,0,1,0,0,1,0,0,17,0,0,0,0
0,0,2,0,0,0,10,0,1,6,44,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,16,0,0,0,0
0,0,3,0,0,0,11,0,5,8,45,0,0,2,1,0,0,1,0,0,1,0,0,1,0,0,17,0,0,0,0
0,0,3,0,0,0,11,0,5,8,45,0,0,2,1,0,0,1,0,0,1,0,0,1,0,0,17,0,0,0,0
0,0,3,0,0,0,11,0,5,8,45,0,0,2,1,0,0,1,0,0,1,0,0,1,0,0,17,0,0,0,0
0,0,3,1,1,0,7,0,2,6,38,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0
0,0,2,0,0,0,10,0,1,6,44,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,16,0,0,0,0
