perm_android_permission_GET_TASKS,suspicious_getSubscriberId,perm_android_permission_READ_PHONE_STATE,perm_android_permission_SYSTEM_ALERT_WINDOW,suspicious_Ljava_lang_Runtime___exec,intent_android_intent_action_USER_PRESENT,suspicious_Ldalvik_system_PathClassLoader_,n_providers,intent_android_intent_action_CREATE_SHORTCUT,suspicious_getCellLocation,perm_android_permission_MOUNT_UNMOUNT_FILESYSTEMS,perm_com_android_launcher_permission_INSTALL_SHORTCUT,perm_android_permission_ACCESS_COARSE_LOCATION,suspicious_Landroid_telephony_SmsMessage___getMessageBody,intent_android_intent_action_PACKAGE_ADDED,suspicious_getCellSignalStrength,perm_android_permission_ACCESS_FINE_LOCATION,perm_com_google_android_c2dm_permission_RECEIVE,intent_android_net_conn_CONNECTIVITY_CHANGE,intent_com_google_firebase_INSTANCE_ID_EVENT,perm_android_permission_CHANGE_WIFI_STATE,intent_com_google_android_c2dm_intent_RECEIVE,n_permissions,suspicious_Base64,perm_android_permission_ACCESS_NETWORK_STATE,n_api_calls,suspicious_Cipher,n_services,intent_android_intent_action_SEND,perm_com_facebook_katana_permission_CROSS_PROCESS_BROADCAST_MANAGER,label
0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,1,34,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,2,0,0,0,0,0
0,1,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,8,0,1,22,1,1,0,0,0
0,1,0,0,1,0,1,5,0,1,0,0,1,0,0,0,1,1,0,1,0,1,14,1,1,33,1,10,0,0,0
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,19,1,1,18,1,6,0,0,0
0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,1,16,1,0,0,0,0
0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,1,18,1,2,0,0,0
0,0,1,1,0,0,1,3,0,0,0,1,1,0,0,0,1,1,0,1,0,1,31,1,1,33,1,12,0,0,0
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,16,1,0,0,0,0
0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6,1,1,36,1,0,0,0,0
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,1,12,1,0,0,0,0
0,0,1,0,0,1,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,15,1,1,19,1,3,0,0,0
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7,1,1,17,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0
0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,20,1,0,0,0,0
1,1,1,1,1,1,1,17,0,1,1,1,1,1,1,0,1,0,1,0,1,0,125,1,1,69,1,57,1,0,0
0,1,0,0,1,0,1,7,0,0,0,0,1,0,0,0,1,1,0,1,0,1,17,1,1,31,1,14,0,0,0
0,0,1,0,1,0,0,3,0,1,0,0,0,0,1,0,0,1,1,1,0,1,20,1,1,30,1,7,0,0,0
0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,25,1,0,0,0,0
0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,27,1,1,18,1,3,0,0,0
0,0,0,0,0,0,1,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0,11,1,1,28,1,2,1,0,0
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,16,1,0,0,0,0
0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,1,0,1,0,1,9,1,1,24,1,4,0,0,1
0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,1,1,0,1,0,1,9,1,1,19,1,5,0,0,0
0,0,1,0,1,0,0,3,0,0,0,0,1,0,0,0,1,1,0,0,0,1,12,1,1,14,1,8,0,0,0
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,22,1,0,0,0,0
0,0,0,0,0,0,1,5,0,1,0,0,0,0,0,1,0,1,1,0,0,1,7,1,1,36,1,16,0,0,0
0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,12,1,1,22,1,2,0,0,0
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,1,1,1,0,0,0,0,0
1,1,1,0,1,1,1,6,0,0,1,0,0,0,0,0,1,1,1,0,1,0,32,1,1,78,1,5,0,0,0
1,0,1,1,1,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,30,0,1,20,1,4,0,0,0
0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,1,16,1,1,86,1,3,0,0,0
0,0,1,1,1,0,1,2,0,0,0,0,0,0,0,0,0,1,0,1,0,1,12,1,1,28,1,9,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,10,1,1,16,1,3,0,0,0
0,0,1,0,0,0,1,5,0,0,0,0,0,0,0,0,0,1,0,0,0,1,10,1,1,23,1,6,0,0,1
0,1,1,0,1,1,1,25,0,1,0,1,0,0,1,0,0,0,1,0,0,0,12,1,1,35,1,20,0,0,0
0,0,1,1,0,0,1,1,0,1,0,0,0,0,0,1,0,1,0,1,0,1,13,1,1,46,1,4,0,0,0
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,8,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,14,0,0,0,0,0
0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,10,1,1,16,1,1,0,0,0
0,0,0,1,1,1,1,0,0,0,0,1,0,0,1,0,0,1,1,0,1,1,34,1,1,18,1,10,0,0,0
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,1,17,1,15,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,1,25,1,0,0,0,0
1,1,1,0,1,0,0,2,0,0,1,0,1,0,0,1,1,0,1,0,1,0,20,1,1,28,1,4,0,0,0
0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,4,1,1,43,1,2,0,0,0
0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,1,12,1,1,11,1,4,0,0,0
1,1,1,1,1,1,1,4,0,0,1,1,1,0,1,0,1,1,1,0,1,0,55,1,1,57,1,32,0,0,0
1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,12,1,1,25,1,2,0,0,0
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,22,1,2,0,0,0
1,1,1,1,1,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,60,1,1,39,1,9,0,0,0
0,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,1,0,1,0,1,11,1,1,19,1,9,0,0,0
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,1,13,1,0,0,0,0
0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,8,1,1,30,1,0,0,0,0
1,1,1,0,1,0,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,26,1,1,50,1,3,0,0,0
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,8,1,1,0,0,0
0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,8,1,1,22,1,1,0,0,0
0,0,0,0,1,0,1,7,0,0,0,0,1,0,0,0,0,1,1,1,0,1,15,1,1,29,1,14,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,5,1,0,0,0,0
0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,1,21,1,2,0,0,1
0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,1,25,1,2,0,0,0
0,0,1,0,1,0,1,7,0,0,0,0,0,0,0,0,0,1,0,1,0,1,32,1,1,29,1,22,1,0,0
1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,10,1,1,26,1,4,0,0,0
0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,25,1,1,19,1,7,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,11,1,1,29,1,2,0,0,0
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2,1,1,26,1,0,0,0,0
1,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,1,0,1,14,1,1,23,1,5,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,3,1,0,0,0,0
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,1,29,1,1,0,0,0
0,0,0,0,0,0,1,3,0,0,0,0,1,0,0,0,1,1,0,1,0,1,12,1,1,8,1,4,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,8,1,0,0,0,0
0,0,0,0,1,0,1,7,0,0,0,0,0,0,0,0,0,1,0,0,0,1,10,1,1,35,1,11,0,0,0
0,0,1,1,0,0,1,3,0,0,0,0,1,0,0,0,1,1,1,1,0,1,14,1,1,20,1,8,0,0,0
0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,1,17,1,2,0,0,0
0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,8,1,1,17,1,0,0,0,0
0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,6,1,1,14,1,3,0,0,0
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,2,1,0,0,0,0
0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,5,1,1,12,1,8,0,0,0
0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,30,1,1,21,1,13,0,0,0
